Probe	EnsemblID	symbol	name
ENSG00000099624.6	ENSG00000099624	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
ENSG00000099625.11	ENSG00000099625	CBARP	CACN beta subunit associated regulatory protein
ENSG00000099715.13	ENSG00000099715	PCDH11Y	protocadherin 11 Y-linked
ENSG00000099721.12	ENSG00000099721	AMELY	amelogenin, Y-linked
ENSG00000099725.13	ENSG00000099725	PRKY	protein kinase, Y-linked, pseudogene
ENSG00000099769.5	ENSG00000099769	IGFALS	insulin like growth factor binding protein acid labile subunit
ENSG00000099783.10	ENSG00000099783	HNRNPM	heterogeneous nuclear ribonucleoprotein M
ENSG00000099785.9	ENSG00000099785	2-Mar	membrane associated ring-CH-type finger 2
ENSG00000099795.5	ENSG00000099795	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7
ENSG00000099797.10	ENSG00000099797	TECR	trans-2,3-enoyl-CoA reductase
ENSG00000099800.6	ENSG00000099800	TIMM13	translocase of inner mitochondrial membrane 13
ENSG00000099804.7	ENSG00000099804	CDC34	cell division cycle 34
ENSG00000099810.17	ENSG00000099810	MTAP	methylthioadenosine phosphorylase
ENSG00000099812.7	ENSG00000099812	MISP	mitotic spindle positioning
ENSG00000099814.14	ENSG00000099814	CEP170B	centrosomal protein 170B
ENSG00000099817.10	ENSG00000099817	POLR2E	polymerase (RNA) II subunit E
ENSG00000099821.12	ENSG00000099821	POLRMT	polymerase (RNA) mitochondrial
ENSG00000099822.2	ENSG00000099822	HCN2	hyperpolarization activated cyclic nucleotide gated potassium channel 2
ENSG00000099834.17	ENSG00000099834	CDHR5	cadherin related family member 5
ENSG00000099840.12	ENSG00000099840	IZUMO4	IZUMO family member 4
ENSG00000099849.13	ENSG00000099849	RASSF7	Ras association domain family member 7
ENSG00000099860.7	ENSG00000099860	GADD45B	growth arrest and DNA damage inducible beta
ENSG00000099864.16	ENSG00000099864	PALM	paralemmin
ENSG00000099866.13	ENSG00000099866	MADCAM1	mucosal vascular addressin cell adhesion molecule 1
ENSG00000099869.7	ENSG00000099869	IGF2-AS	IGF2 antisense RNA
ENSG00000099875.13	ENSG00000099875	MKNK2	MAP kinase interacting serine/threonine kinase 2
ENSG00000099889.12	ENSG00000099889	ARVCF	armadillo repeat gene deleted in velocardiofacial syndrome
ENSG00000099899.13	ENSG00000099899	TRMT2A	tRNA methyltransferase 2 homolog A
ENSG00000099901.15	ENSG00000099901	RANBP1	RAN binding protein 1
ENSG00000099904.14	ENSG00000099904	ZDHHC8	zinc finger DHHC-type containing 8
ENSG00000099910.15	ENSG00000099910	KLHL22	kelch like family member 22
ENSG00000099917.16	ENSG00000099917	MED15	mediator complex subunit 15
ENSG00000099937.9	ENSG00000099937	SERPIND1	serpin family D member 1
ENSG00000099940.10	ENSG00000099940	SNAP29	synaptosome associated protein 29
ENSG00000099942.11	ENSG00000099942	CRKL	CRK like proto-oncogene, adaptor protein
ENSG00000099949.17	ENSG00000099949	LZTR1	leucine-zipper-like transcription regulator 1
ENSG00000099953.8	ENSG00000099953	MMP11	matrix metallopeptidase 11
ENSG00000099954.17	ENSG00000099954	CECR2	CECR2, histone acetyl-lysine reader
ENSG00000099956.16	ENSG00000099956	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
ENSG00000099957.15	ENSG00000099957	P2RX6	purinergic receptor P2X 6
ENSG00000099958.13	ENSG00000099958	DERL3	derlin 3
ENSG00000099960.11	ENSG00000099960	SLC7A4	solute carrier family 7 member 4
ENSG00000099968.16	ENSG00000099968	BCL2L13	BCL2 like 13
ENSG00000099974.7	ENSG00000099974	DDTL	D-dopachrome tautomerase-like
ENSG00000099977.12	ENSG00000099977	DDT	D-dopachrome tautomerase
ENSG00000099984.9	ENSG00000099984	GSTT2	glutathione S-transferase theta 2 (gene/pseudogene)
ENSG00000099985.3	ENSG00000099985	OSM	oncostatin M
ENSG00000099991.15	ENSG00000099991	CABIN1	calcineurin binding protein 1
ENSG00000099992.14	ENSG00000099992	TBC1D10A	TBC1 domain family member 10A
ENSG00000099994.10	ENSG00000099994	SUSD2	sushi domain containing 2
ENSG00000099995.17	ENSG00000099995	SF3A1	splicing factor 3a subunit 1
ENSG00000099998.16	ENSG00000099998	GGT5	gamma-glutamyltransferase 5
ENSG00000099999.13	ENSG00000099999	RNF215	ring finger protein 215
ENSG00000100003.16	ENSG00000100003	SEC14L2	SEC14 like lipid binding 2
ENSG00000100012.10	ENSG00000100012	SEC14L3	SEC14 like lipid binding 3
ENSG00000100014.18	ENSG00000100014	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like
ENSG00000100023.16	ENSG00000100023	PPIL2	peptidylprolyl isomerase like 2
ENSG00000100024.13	ENSG00000100024	UPB1	beta-ureidopropionase 1
ENSG00000100027.13	ENSG00000100027	YPEL1	yippee like 1
ENSG00000100028.10	ENSG00000100028	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide
ENSG00000100029.16	ENSG00000100029	PES1	pescadillo ribosomal biogenesis factor 1
ENSG00000100030.13	ENSG00000100030	MAPK1	mitogen-activated protein kinase 1
ENSG00000100031.17	ENSG00000100031	GGT1	gamma-glutamyltransferase 1
ENSG00000100033.15	ENSG00000100033	PRODH	proline dehydrogenase 1
ENSG00000100034.12	ENSG00000100034	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F
ENSG00000100036.12	ENSG00000100036	SLC35E4	solute carrier family 35 member E4
ENSG00000100038.18	ENSG00000100038	TOP3B	topoisomerase (DNA) III beta
ENSG00000100053.8	ENSG00000100053	CRYBB3	crystallin beta B3
ENSG00000100055.19	ENSG00000100055	CYTH4	cytohesin 4
ENSG00000100056.10	ENSG00000100056	DGCR14	DiGeorge syndrome critical region gene 14
ENSG00000100058.11	ENSG00000100058	CRYBB2P1	crystallin beta B2 pseudogene 1
ENSG00000100060.16	ENSG00000100060	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ENSG00000100065.13	ENSG00000100065	CARD10	caspase recruitment domain family member 10
ENSG00000100068.10	ENSG00000100068	LRP5L	LDL receptor related protein 5 like
ENSG00000100075.8	ENSG00000100075	SLC25A1	solute carrier family 25 member 1
ENSG00000100077.13	ENSG00000100077	GRK3	G protein-coupled receptor kinase 3
ENSG00000100078.3	ENSG00000100078	PLA2G3	phospholipase A2 group III
ENSG00000100079.6	ENSG00000100079	LGALS2	galectin 2
ENSG00000100083.17	ENSG00000100083	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1
ENSG00000100084.13	ENSG00000100084	HIRA	histone cell cycle regulator
ENSG00000100092.19	ENSG00000100092	SH3BP1	SH3 domain binding protein 1
ENSG00000100095.17	ENSG00000100095	SEZ6L	seizure related 6 homolog like
ENSG00000100097.10	ENSG00000100097	LGALS1	galectin 1
ENSG00000100099.19	ENSG00000100099	HPS4	HPS4, biogenesis of lysosomal organelles complex 3 subunit 2
ENSG00000100100.11	ENSG00000100100	PIK3IP1	phosphoinositide-3-kinase interacting protein 1
ENSG00000100101.14	ENSG00000100101	RP1-37E16.12	NA
ENSG00000100104.11	ENSG00000100104	SRRD	SRR1 domain containing
ENSG00000100105.16	ENSG00000100105	PATZ1	POZ/BTB and AT hook containing zinc finger 1
ENSG00000100106.18	ENSG00000100106	TRIOBP	TRIO and F-actin binding protein
ENSG00000100109.15	ENSG00000100109	TFIP11	tuftelin interacting protein 11
ENSG00000100116.15	ENSG00000100116	GCAT	glycine C-acetyltransferase
ENSG00000100121.11	ENSG00000100121	GGTLC2	gamma-glutamyltransferase light chain 2
ENSG00000100122.5	ENSG00000100122	CRYBB1	crystallin beta B1
ENSG00000100124.11	ENSG00000100124	ANKRD54	ankyrin repeat domain 54
ENSG00000100129.16	ENSG00000100129	EIF3L	eukaryotic translation initiation factor 3 subunit L
ENSG00000100138.12	ENSG00000100138	SNU13	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)
ENSG00000100139.12	ENSG00000100139	MICALL1	MICAL like 1
ENSG00000100142.13	ENSG00000100142	POLR2F	polymerase (RNA) II subunit F
ENSG00000100147.12	ENSG00000100147	CCDC134	coiled-coil domain containing 134
ENSG00000100150.15	ENSG00000100150	DEPDC5	DEP domain containing 5
ENSG00000100151.14	ENSG00000100151	PICK1	protein interacting with PRKCA 1
ENSG00000100154.13	ENSG00000100154	TTC28	tetratricopeptide repeat domain 28
ENSG00000100156.9	ENSG00000100156	SLC16A8	solute carrier family 16 member 8
ENSG00000100162.13	ENSG00000100162	CENPM	centromere protein M
ENSG00000100167.18	ENSG00000100167	3-Sep	septin 3
ENSG00000100170.8	ENSG00000100170	SLC5A1	solute carrier family 5 member 1
ENSG00000100181.20	ENSG00000100181	TPTEP1	transmembrane phosphatase with tensin homology pseudogene 1
ENSG00000100191.5	ENSG00000100191	SLC5A4	solute carrier family 5 member 4
ENSG00000100196.9	ENSG00000100196	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3
ENSG00000100197.19	ENSG00000100197	CYP2D6	cytochrome P450 family 2 subfamily D member 6
ENSG00000100201.17	ENSG00000100201	DDX17	DEAD-box helicase 17
ENSG00000100206.8	ENSG00000100206	DMC1	DNA meiotic recombinase 1
ENSG00000100207.17	ENSG00000100207	TCF20	transcription factor 20 (AR1)
ENSG00000100209.8	ENSG00000100209	HSCB	HscB mitochondrial iron-sulfur cluster cochaperone
ENSG00000100211.9	ENSG00000100211	CBY1	chibby family member 1, beta catenin antagonist
ENSG00000100216.5	ENSG00000100216	TOMM22	translocase of outer mitochondrial membrane 22
ENSG00000100218.10	ENSG00000100218	RSPH14	radial spoke head 14 homolog
ENSG00000100220.10	ENSG00000100220	RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase
ENSG00000100221.9	ENSG00000100221	JOSD1	Josephin domain containing 1
ENSG00000100225.16	ENSG00000100225	FBXO7	F-box protein 7
ENSG00000100226.14	ENSG00000100226	GTPBP1	GTP binding protein 1
ENSG00000100227.16	ENSG00000100227	POLDIP3	polymerase (DNA) delta interacting protein 3
ENSG00000100228.11	ENSG00000100228	RAB36	RAB36, member RAS oncogene family
ENSG00000100234.11	ENSG00000100234	TIMP3	TIMP metallopeptidase inhibitor 3
ENSG00000100239.14	ENSG00000100239	PPP6R2	protein phosphatase 6 regulatory subunit 2
ENSG00000100241.19	ENSG00000100241	SBF1	SET binding factor 1
ENSG00000100242.14	ENSG00000100242	SUN2	Sad1 and UNC84 domain containing 2
ENSG00000100243.19	ENSG00000100243	CYB5R3	cytochrome b5 reductase 3
ENSG00000100246.11	ENSG00000100246	DNAL4	dynein axonemal light chain 4
ENSG00000100253.11	ENSG00000100253	MIOX	myo-inositol oxygenase
ENSG00000100258.16	ENSG00000100258	LMF2	lipase maturation factor 2
ENSG00000100263.12	ENSG00000100263	RHBDD3	rhomboid domain containing 3
ENSG00000100266.16	ENSG00000100266	PACSIN2	protein kinase C and casein kinase substrate in neurons 2
ENSG00000100271.15	ENSG00000100271	TTLL1	tubulin tyrosine ligase like 1
ENSG00000100276.9	ENSG00000100276	RASL10A	RAS like family 10 member A
ENSG00000100280.15	ENSG00000100280	AP1B1	adaptor related protein complex 1 beta 1 subunit
ENSG00000100281.12	ENSG00000100281	HMGXB4	HMG-box containing 4
ENSG00000100284.19	ENSG00000100284	TOM1	target of myb1 membrane trafficking protein
ENSG00000100285.9	ENSG00000100285	NEFH	neurofilament, heavy polypeptide
ENSG00000100288.18	ENSG00000100288	CHKB	choline kinase beta
ENSG00000100290.2	ENSG00000100290	BIK	BCL2 interacting killer
ENSG00000100292.15	ENSG00000100292	HMOX1	heme oxygenase 1
ENSG00000100294.11	ENSG00000100294	MCAT	malonyl-CoA-acyl carrier protein transacylase
ENSG00000100296.12	ENSG00000100296	THOC5	THO complex 5
ENSG00000100297.14	ENSG00000100297	MCM5	minichromosome maintenance complex component 5
ENSG00000100298.14	ENSG00000100298	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H
ENSG00000100299.16	ENSG00000100299	ARSA	arylsulfatase A
ENSG00000100300.16	ENSG00000100300	TSPO	translocator protein
ENSG00000100302.6	ENSG00000100302	RASD2	RASD family member 2
ENSG00000100304.12	ENSG00000100304	TTLL12	tubulin tyrosine ligase like 12
ENSG00000100307.11	ENSG00000100307	CBX7	chromobox 7
ENSG00000100311.15	ENSG00000100311	PDGFB	platelet derived growth factor subunit B
ENSG00000100312.9	ENSG00000100312	ACR	acrosin
ENSG00000100314.3	ENSG00000100314	CABP7	calcium binding protein 7
ENSG00000100316.14	ENSG00000100316	RPL3	ribosomal protein L3
ENSG00000100319.12	ENSG00000100319	ZMAT5	zinc finger matrin-type 5
ENSG00000100320.21	ENSG00000100320	RBFOX2	RNA binding protein, fox-1 homolog 2
ENSG00000100321.13	ENSG00000100321	SYNGR1	synaptogyrin 1
ENSG00000100324.12	ENSG00000100324	TAB1	TGF-beta activated kinase 1/MAP3K7 binding protein 1
ENSG00000100325.13	ENSG00000100325	ASCC2	activating signal cointegrator 1 complex subunit 2
ENSG00000100330.14	ENSG00000100330	MTMR3	myotubularin related protein 3
ENSG00000100335.11	ENSG00000100335	MIEF1	mitochondrial elongation factor 1
ENSG00000100336.16	ENSG00000100336	APOL4	apolipoprotein L4
ENSG00000100341.10	ENSG00000100341	PNPLA5	patatin like phospholipase domain containing 5
ENSG00000100342.19	ENSG00000100342	APOL1	apolipoprotein L1
ENSG00000100344.9	ENSG00000100344	PNPLA3	patatin like phospholipase domain containing 3
ENSG00000100345.19	ENSG00000100345	MYH9	myosin, heavy chain 9, non-muscle
ENSG00000100346.16	ENSG00000100346	CACNA1I	calcium voltage-gated channel subunit alpha1 I
ENSG00000100347.13	ENSG00000100347	SAMM50	SAMM50 sorting and assembly machinery component
ENSG00000100348.8	ENSG00000100348	TXN2	thioredoxin 2
ENSG00000100350.13	ENSG00000100350	FOXRED2	FAD dependent oxidoreductase domain containing 2
ENSG00000100351.15	ENSG00000100351	GRAP2	GRB2-related adaptor protein 2
ENSG00000100353.16	ENSG00000100353	EIF3D	eukaryotic translation initiation factor 3 subunit D
ENSG00000100354.19	ENSG00000100354	TNRC6B	trinucleotide repeat containing 6B
ENSG00000100359.19	ENSG00000100359	SGSM3	small G protein signaling modulator 3
ENSG00000100360.13	ENSG00000100360	IFT27	intraflagellar transport 27
ENSG00000100362.11	ENSG00000100362	PVALB	parvalbumin
ENSG00000100364.17	ENSG00000100364	KIAA0930	KIAA0930
ENSG00000100365.13	ENSG00000100365	NCF4	neutrophil cytosolic factor 4
ENSG00000100368.12	ENSG00000100368	CSF2RB	colony stimulating factor 2 receptor beta common subunit
ENSG00000100372.13	ENSG00000100372	SLC25A17	solute carrier family 25 member 17
ENSG00000100373.8	ENSG00000100373	UPK3A	uroplakin 3A
ENSG00000100376.10	ENSG00000100376	FAM118A	family with sequence similarity 118 member A
ENSG00000100379.16	ENSG00000100379	KCTD17	potassium channel tetramerization domain containing 17
ENSG00000100380.11	ENSG00000100380	ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ENSG00000100385.12	ENSG00000100385	IL2RB	interleukin 2 receptor subunit beta
ENSG00000100387.8	ENSG00000100387	RBX1	ring-box 1
ENSG00000100393.9	ENSG00000100393	EP300	E1A binding protein p300
ENSG00000100395.13	ENSG00000100395	L3MBTL2	L3MBTL2 polycomb repressive complex 1 subunit
ENSG00000100399.14	ENSG00000100399	CHADL	chondroadherin like
ENSG00000100401.18	ENSG00000100401	RANGAP1	Ran GTPase activating protein 1
ENSG00000100403.11	ENSG00000100403	ZC3H7B	zinc finger CCCH-type containing 7B
ENSG00000100410.6	ENSG00000100410	PHF5A	PHD finger protein 5A
ENSG00000100412.14	ENSG00000100412	ACO2	aconitase 2
ENSG00000100413.15	ENSG00000100413	POLR3H	polymerase (RNA) III subunit H
ENSG00000100416.11	ENSG00000100416	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase
ENSG00000100417.10	ENSG00000100417	PMM1	phosphomannomutase 1
ENSG00000100418.7	ENSG00000100418	DESI1	desumoylating isopeptidase 1
ENSG00000100422.12	ENSG00000100422	CERK	ceramide kinase
ENSG00000100425.17	ENSG00000100425	BRD1	bromodomain containing 1
ENSG00000100426.6	ENSG00000100426	ZBED4	zinc finger BED-type containing 4
ENSG00000100427.14	ENSG00000100427	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1
ENSG00000100429.16	ENSG00000100429	HDAC10	histone deacetylase 10
ENSG00000100433.14	ENSG00000100433	KCNK10	potassium two pore domain channel subfamily K member 10
ENSG00000100439.9	ENSG00000100439	ABHD4	abhydrolase domain containing 4
ENSG00000100441.8	ENSG00000100441	KHNYN	KH and NYN domain containing
ENSG00000100442.9	ENSG00000100442	FKBP3	FK506 binding protein 3
ENSG00000100445.15	ENSG00000100445	SDR39U1	short chain dehydrogenase/reductase family 39U member 1
ENSG00000100448.3	ENSG00000100448	CTSG	cathepsin G
ENSG00000100450.11	ENSG00000100450	GZMH	granzyme H
ENSG00000100453.11	ENSG00000100453	GZMB	granzyme B
ENSG00000100461.16	ENSG00000100461	RBM23	RNA binding motif protein 23
ENSG00000100462.14	ENSG00000100462	PRMT5	protein arginine methyltransferase 5
ENSG00000100473.14	ENSG00000100473	COCH	cochlin
ENSG00000100478.13	ENSG00000100478	AP4S1	adaptor related protein complex 4 sigma 1 subunit
ENSG00000100479.11	ENSG00000100479	POLE2	polymerase (DNA) epsilon 2, accessory subunit
ENSG00000100483.12	ENSG00000100483	VCPKMT	valosin containing protein lysine methyltransferase
ENSG00000100485.10	ENSG00000100485	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2
ENSG00000100490.8	ENSG00000100490	CDKL1	cyclin dependent kinase like 1
ENSG00000100503.22	ENSG00000100503	NIN	ninein
ENSG00000100504.15	ENSG00000100504	PYGL	phosphorylase, glycogen, liver
ENSG00000100505.12	ENSG00000100505	TRIM9	tripartite motif containing 9
ENSG00000100519.10	ENSG00000100519	PSMC6	proteasome 26S subunit, ATPase 6
ENSG00000100522.7	ENSG00000100522	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1
ENSG00000100523.13	ENSG00000100523	DDHD1	DDHD domain containing 1
ENSG00000100526.18	ENSG00000100526	CDKN3	cyclin dependent kinase inhibitor 3
ENSG00000100528.10	ENSG00000100528	CNIH1	cornichon family AMPA receptor auxiliary protein 1
ENSG00000100532.10	ENSG00000100532	CGRRF1	cell growth regulator with ring finger domain 1
ENSG00000100554.10	ENSG00000100554	ATP6V1D	ATPase H+ transporting V1 subunit D
ENSG00000100557.8	ENSG00000100557	C14orf105	chromosome 14 open reading frame 105
ENSG00000100558.7	ENSG00000100558	PLEK2	pleckstrin 2
ENSG00000100564.7	ENSG00000100564	PIGH	phosphatidylinositol glycan anchor biosynthesis class H
ENSG00000100565.14	ENSG00000100565	LRRC74A	leucine rich repeat containing 74A
ENSG00000100567.11	ENSG00000100567	PSMA3	proteasome subunit alpha 3
ENSG00000100568.9	ENSG00000100568	VTI1B	vesicle transport through interaction with t-SNAREs 1B
ENSG00000100575.12	ENSG00000100575	TIMM9	translocase of inner mitochondrial membrane 9
ENSG00000100577.17	ENSG00000100577	GSTZ1	glutathione S-transferase zeta 1
ENSG00000100578.13	ENSG00000100578	KIAA0586	KIAA0586
ENSG00000100580.7	ENSG00000100580	TMED8	transmembrane p24 trafficking protein family member 8
ENSG00000100583.4	ENSG00000100583	SAMD15	sterile alpha motif domain containing 15
ENSG00000100591.6	ENSG00000100591	AHSA1	activator of Hsp90 ATPase activity 1
ENSG00000100592.14	ENSG00000100592	DAAM1	dishevelled associated activator of morphogenesis 1
ENSG00000100593.16	ENSG00000100593	ISM2	isthmin 2
ENSG00000100596.5	ENSG00000100596	SPTLC2	serine palmitoyltransferase long chain base subunit 2
ENSG00000100599.14	ENSG00000100599	RIN3	Ras and Rab interactor 3
ENSG00000100600.13	ENSG00000100600	LGMN	legumain
ENSG00000100601.8	ENSG00000100601	ALKBH1	alkB homolog 1, histone H2A dioxygenase
ENSG00000100603.12	ENSG00000100603	SNW1	SNW domain containing 1
ENSG00000100604.11	ENSG00000100604	CHGA	chromogranin A
ENSG00000100605.15	ENSG00000100605	ITPK1	inositol-tetrakisphosphate 1-kinase
ENSG00000100612.12	ENSG00000100612	DHRS7	dehydrogenase/reductase 7
ENSG00000100614.16	ENSG00000100614	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A
ENSG00000100625.8	ENSG00000100625	SIX4	SIX homeobox 4
ENSG00000100626.15	ENSG00000100626	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16
ENSG00000100628.10	ENSG00000100628	ASB2	ankyrin repeat and SOCS box containing 2
ENSG00000100629.15	ENSG00000100629	CEP128	centrosomal protein 128
ENSG00000100632.9	ENSG00000100632	ERH	enhancer of rudimentary homolog (Drosophila)
ENSG00000100644.15	ENSG00000100644	HIF1A	hypoxia inducible factor 1 alpha subunit
ENSG00000100647.7	ENSG00000100647	SUSD6	sushi domain containing 6
ENSG00000100650.14	ENSG00000100650	SRSF5	serine and arginine rich splicing factor 5
ENSG00000100652.4	ENSG00000100652	SLC10A1	solute carrier family 10 member 1
ENSG00000100664.9	ENSG00000100664	EIF5	eukaryotic translation initiation factor 5
ENSG00000100665.10	ENSG00000100665	SERPINA4	serpin family A member 4
ENSG00000100678.17	ENSG00000100678	SLC8A3	solute carrier family 8 member A3
ENSG00000100697.13	ENSG00000100697	DICER1	dicer 1, ribonuclease III
ENSG00000100711.12	ENSG00000100711	ZFYVE21	zinc finger FYVE-type containing 21
ENSG00000100714.14	ENSG00000100714	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
ENSG00000100721.9	ENSG00000100721	TCL1A	T-cell leukemia/lymphoma 1A
ENSG00000100722.17	ENSG00000100722	ZC3H14	zinc finger CCCH-type containing 14
ENSG00000100726.13	ENSG00000100726	TELO2	telomere maintenance 2
ENSG00000100731.14	ENSG00000100731	PCNX1	pecanex homolog 1 (Drosophila)
ENSG00000100739.9	ENSG00000100739	BDKRB1	bradykinin receptor B1
ENSG00000100744.13	ENSG00000100744	GSKIP	GSK3B interacting protein
ENSG00000100749.6	ENSG00000100749	VRK1	vaccinia related kinase 1
ENSG00000100764.12	ENSG00000100764	PSMC1	proteasome 26S subunit, ATPase 1
ENSG00000100767.14	ENSG00000100767	PAPLN	papilin, proteoglycan like sulfated glycoprotein
ENSG00000100784.8	ENSG00000100784	RPS6KA5	ribosomal protein S6 kinase A5
ENSG00000100796.16	ENSG00000100796	PPP4R3A	protein phosphatase 4 regulatory subunit 3A
ENSG00000100802.13	ENSG00000100802	C14orf93	chromosome 14 open reading frame 93
ENSG00000100804.17	ENSG00000100804	PSMB5	proteasome subunit beta 5
ENSG00000100811.9	ENSG00000100811	YY1	YY1 transcription factor
ENSG00000100813.13	ENSG00000100813	ACIN1	apoptotic chromatin condensation inducer 1
ENSG00000100814.16	ENSG00000100814	CCNB1IP1	cyclin B1 interacting protein 1
ENSG00000100815.11	ENSG00000100815	TRIP11	thyroid hormone receptor interactor 11
ENSG00000100823.10	ENSG00000100823	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1
ENSG00000100836.9	ENSG00000100836	PABPN1	poly(A) binding protein nuclear 1
ENSG00000100842.11	ENSG00000100842	EFS	embryonal Fyn-associated substrate
ENSG00000100852.11	ENSG00000100852	ARHGAP5	Rho GTPase activating protein 5
ENSG00000100865.13	ENSG00000100865	CINP	cyclin dependent kinase 2 interacting protein
ENSG00000100867.13	ENSG00000100867	DHRS2	dehydrogenase/reductase 2
ENSG00000100883.10	ENSG00000100883	SRP54	signal recognition particle 54
ENSG00000100884.8	ENSG00000100884	CPNE6	copine 6
ENSG00000100888.11	ENSG00000100888	CHD8	chromodomain helicase DNA binding protein 8
ENSG00000100889.10	ENSG00000100889	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial
ENSG00000100890.14	ENSG00000100890	KIAA0391	KIAA0391
ENSG00000100897.16	ENSG00000100897	DCAF11	DDB1 and CUL4 associated factor 11
ENSG00000100902.9	ENSG00000100902	PSMA6	proteasome subunit alpha 6
ENSG00000100906.9	ENSG00000100906	NFKBIA	NFKB inhibitor alpha
ENSG00000100908.12	ENSG00000100908	EMC9	ER membrane protein complex subunit 9
ENSG00000100911.12	ENSG00000100911	PSME2	proteasome activator subunit 2
ENSG00000100916.12	ENSG00000100916	BRMS1L	breast cancer metastasis-suppressor 1-like
ENSG00000100918.11	ENSG00000100918	REC8	REC8 meiotic recombination protein
ENSG00000100926.13	ENSG00000100926	TM9SF1	transmembrane 9 superfamily member 1
ENSG00000100934.13	ENSG00000100934	SEC23A	Sec23 homolog A, coat complex II component
ENSG00000100938.16	ENSG00000100938	GMPR2	guanosine monophosphate reductase 2
ENSG00000100941.7	ENSG00000100941	PNN	pinin, desmosome associated protein
ENSG00000100949.13	ENSG00000100949	RABGGTA	Rab geranylgeranyltransferase alpha subunit
ENSG00000100968.12	ENSG00000100968	NFATC4	nuclear factor of activated T-cells 4
ENSG00000100979.13	ENSG00000100979	PLTP	phospholipid transfer protein
ENSG00000100982.10	ENSG00000100982	PCIF1	PDX1 C-terminal inhibiting factor 1
ENSG00000100983.8	ENSG00000100983	GSS	glutathione synthetase
ENSG00000100985.7	ENSG00000100985	MMP9	matrix metallopeptidase 9
ENSG00000100987.13	ENSG00000100987	VSX1	visual system homeobox 1
ENSG00000100991.10	ENSG00000100991	TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein
ENSG00000100994.10	ENSG00000100994	PYGB	phosphorylase, glycogen; brain
ENSG00000100997.17	ENSG00000100997	ABHD12	abhydrolase domain containing 12
ENSG00000101000.4	ENSG00000101000	PROCR	protein C receptor
ENSG00000101003.9	ENSG00000101003	GINS1	GINS complex subunit 1
ENSG00000101004.13	ENSG00000101004	NINL	ninein like
ENSG00000101017.12	ENSG00000101017	CD40	CD40 molecule
ENSG00000101019.20	ENSG00000101019	UQCC1	ubiquinol-cytochrome c reductase complex assembly factor 1
ENSG00000101040.18	ENSG00000101040	ZMYND8	zinc finger MYND-type containing 8
ENSG00000101049.13	ENSG00000101049	SGK2	SGK2, serine/threonine kinase 2
ENSG00000101052.11	ENSG00000101052	IFT52	intraflagellar transport 52
ENSG00000101057.14	ENSG00000101057	MYBL2	MYB proto-oncogene like 2
ENSG00000101074.3	ENSG00000101074	R3HDML	R3H domain containing like
ENSG00000101076.15	ENSG00000101076	HNF4A	hepatocyte nuclear factor 4 alpha
ENSG00000101079.19	ENSG00000101079	NDRG3	NDRG family member 3
ENSG00000101082.12	ENSG00000101082	SLA2	Src like adaptor 2
ENSG00000101084.15	ENSG00000101084	C20orf24	chromosome 20 open reading frame 24
ENSG00000101096.18	ENSG00000101096	NFATC2	nuclear factor of activated T-cells 2
ENSG00000101098.11	ENSG00000101098	RIMS4	regulating synaptic membrane exocytosis 4
ENSG00000101104.11	ENSG00000101104	PABPC1L	poly(A) binding protein cytoplasmic 1 like
ENSG00000101109.10	ENSG00000101109	STK4	serine/threonine kinase 4
ENSG00000101115.11	ENSG00000101115	SALL4	spalt like transcription factor 4
ENSG00000101126.14	ENSG00000101126	ADNP	activity dependent neuroprotector homeobox
ENSG00000101132.8	ENSG00000101132	PFDN4	prefoldin subunit 4
ENSG00000101134.10	ENSG00000101134	DOK5	docking protein 5
ENSG00000101138.10	ENSG00000101138	CSTF1	cleavage stimulation factor subunit 1
ENSG00000101144.11	ENSG00000101144	BMP7	bone morphogenetic protein 7
ENSG00000101146.11	ENSG00000101146	RAE1	ribonucleic acid export 1
ENSG00000101150.16	ENSG00000101150	TPD52L2	tumor protein D52 like 2
